key,rmsd
6TW5_9M2,5.035920645437504
8E77_ULP,7.635828907447143
7U3J_L6U,6.112528034511057
7M3H_YPV,3.587079988075762
8AEM_LVF,2.573788116382609
7JNB_A2G,5.628512848673495
7AKL_RK5,1.9699091487850275
7OKF_VH5,5.273656093374374
7BCP_GCO,3.049492960582203
7WY1_D0L,3.9684929971191982
7Q27_8KC,3.192588189113594
8AIE_M7L,2.489527200937828
6YYO_Q1K,2.8478796219372087
7NB4_U6Q,2.0211290557327337
7NGW_UAW,6.17552372151467
8H0M_2EH,5.347725407380316
8EX2_Q2Q,2.123323404996856
7UXS_OJC,5.480530222389086
7MGY_ZD1,1.88847167774389
8DKO_TFB,3.0719959182900776
7CL8_TES,5.790908102683823
7T0U_E3I,8.5494012891868
7PIH_7QW,2.9505233499564745
7ELT_TYM,3.0693388336903586
7ZU2_DHT,0.47057381948541077
7ZOC_T8E,2.8248144338037178
7N4N_0BK,2.8644718945283323
7SZA_DUI,6.60226066443311
7W06_ITN,2.1804938917514076
7UMW_NAD,3.2407304592548125
7NTG_F6R,2.292293081599661
7DQL_4CL,2.8777055738549993
7ECR_SIN,3.8661860023974253
6ZPB_3D1,3.3316850757114125
7X9K_8OG,2.487273222216684
7SCW_GSP,0.3883734591382062
7D6O_MTE,6.198313780038688
7B2C_TP7,4.0972813663594305
7BKA_4JC,4.831456968388202
7RKW_5TV,4.487470409213453
7E2S_BLA,5.523722681372212
7NU0_DCL,2.8187477205390605
7WKL_CAQ,2.429418870712837
8D39_QDB,2.431459427020488
7SIU_9ID,4.62960504817757
8BN6_R53,2.176970893539102
7LJN_GTP,2.301202739874304
7QTA_URI,2.03978433574325
7P2I_MFU,0.7981851247764997
7ZZB_KGX,5.871457580113944
8HFN_XGC,3.0652102779830366
7JUD_MMA,4.650248188049204
8C7Y_TXV,1.3201419890682566
7L6D_BMF,4.104759162256441
7QE4_NGA,3.0327730582739756
6ZXQ_IMO,2.2425325559325056
6ZAE_ACV,2.164493297102088
7T3E_SLB,1.1966775774834248
7XFA_D9J,5.008514580139413
7XBV_APC,3.042688427953584
7UMV_NUU,4.585224252841952
7LT0_ONJ,3.240183593182377
7L5F_XNG,6.781434332271572
8C3N_ADP,1.2762312926273827
7TUO_KL9,6.7201823688567055
7WUY_76N,6.519785627346736
7R59_I5F,3.5175616643845293
7ZHP_IQY,2.9184498975962216
8AQL_PLG,2.240647615486327
7KP6_WTP,3.2968707502872565
6XM9_V55,3.6133318046615317
7AA0_R6B,2.130504660420007
7T3F_EM0,1.190865579540092
6TW7_NZB,4.1432638028535695
7THI_PGA,2.1392874056054643
5SD5_HWI,2.9844036159524325
7P4J_5JK,4.708840171684281
6YQW_82I,2.404077257452791
7ZF0_DHR,3.1514354779943554
5S8I_2LY,5.618481303052562
7V8Z_5YH,5.999043239286044
7MWU_ZPM,2.633142895559643
7NSW_HC4,2.4985805138308153
6WTN_RXT,2.3526249273519197
8HO0_3ZI,3.1897807657419697
6XG5_TOP,1.557748208660354
8FAV_4Y5,3.0293726111729864
7PL1_SFG,1.088449656441002
8SLG_G5A,1.250213100864114
7X5N_5M5,3.1203619326681418
7CIJ_G0C,2.3735821177850736
7RNI_60I,5.97995229377672
7O0N_CDP,3.198585849503467
8G43_ZU6,2.3537156920005007
6ZC3_JOR,3.688617215718351
6ZX3_QRZ,1.4887066666657573
7ROR_69X,1.0337901781396568
7USH_82V,2.868259135943837
8EXL_799,3.2155771710153322
7B94_ANP,1.7516513485969034
5SB2_1K2,2.955731495571842
7ZDY_6MJ,1.7605274496991643
7DIN_MPO,4.101617717609471
7TBU_S3P,2.7648271192453073
7OZ9_NGK,5.140231052279335
7NA4_1I9,3.339881857954999
7BHX_TO5,3.884227641646364
8G0V_YHT,1.8421303765193473
7JHQ_VAJ,5.350663674445111
7JGW_V9S,7.30526545480142
8BTI_RFO,3.4021804904278783
7K41_VUA,4.437196335478273
7OKC_VFE,5.383213665038854
7M41_YQG,4.860207622569745
7EBG_J0L,3.53355574713644
7P1M_4IU,4.794101042703092
7F8T_FAD,1.7670474582033255
7QGP_DJ8,2.7228857191145495
7L81_UD4,7.291461535670367
8D19_GSH,3.4161397719341258
7BJJ_TVW,1.774588411267169
7SSM_B7L,6.282235546453976
6YQV_8K2,2.2865617529019464
7NR8_UOE,3.3280129940253986
7NUT_GLP,3.3734462462758392
8CI0_8EL,1.779388892560486
7ZYS_KNR,7.603353027939099
7P4V_DAT,2.2189559445978535
8F8E_XJI,5.950028836494386
6Y7L_QMG,2.7335609365399645
6YMS_OZH,9.039095697096384
7L00_XCJ,7.401680675170323
7EN7_J79,5.119508113945824
7U0U_FK5,6.531659550936323
7NF3_4LU,6.330352428167317
7UEY_N0R,6.086278494664654
7WPW_F15,1.5075562179910749
7KQU_YOF,3.8896936713447707
7OFK_VCH,2.0752777187754403
7OLI_8HG,3.3643963632849263
7BNH_BEZ,4.235503761538034
6M2B_EZO,4.299142078759598
7W6F_8I6,6.069508055897463
7R6J_2I7,5.763692324632866
7WQQ_5Z6,2.9326268998140375
8ACL_LQL,3.9198646134997226
7Q19_DSM,4.009639132213383
6ZK5_IMH,4.387493411299869
7QF4_RBF,0.9985210372727256
7SGV_L30,2.4875713910274886
7PRM_81I,2.726817220122825
7UJ5_DGL,3.1029533918265066
7KC5_BJZ,3.6582883291962403
7TWC_CXS,5.865747938166446
7T2I_E9F,2.373148487973254
5SIS_JSM,2.0743863274989556
7MRH_ZMJ,3.878762157681745
6ZR8_QOZ,4.468545795622157
7PGX_FMN,0.8910534283968063
7PK0_BYC,4.5030856159403205
7RWS_4UR,6.418312147260511
7JR8_VH7,4.475719555692226
8CNH_V6U,3.0647130124722435
7ODX_DGP,3.9330436610225403
6YSP_PAL,2.8291592368274885
7ZCC_OGA,4.208531338233866
7LCU_XTA,6.871402791599312
7L03_F9F,1.758957988384328
7UJF_R3V,3.024259482500331
7TXP_0FX,3.561685463562542
7ZXZ_K9R,4.45637974999276
7RPZ_6IC,5.773473043079551
7TYP_KUR,5.5905849674344195
8DZT_G4P,3.7044517320493693
7A9E_R4W,8.396778597147689
7RH8_UTP,5.1056178762670665
7ROU_66I,5.4743545305102135
7OPG_06N,3.9770791757810313
7V3S_5I9,4.138248782477656
7OCB_V88,5.804620130338419
8AJX_FUM,7.401691386982325
7PA4_C,1.8789612476085897
7S45_ACO,7.507400652921829
7E4L_MDN,5.982897227560293
7BMI_U4B,3.0612085635364754
7R9N_F97,2.652016289026706
8BOM_QU6,3.29389005437706
7REE_4LY,5.059988833681014
8FV9_80J,7.666756333989666
6X8D_ARA,4.311192273551995
7KLX_WOV,4.563552294245672
7P5T_5YG,7.303221493852918
7QK0_EBL,4.6500760530700065
7CUO_PHB,4.107793502909803
8GFD_ZHR,4.134274725634809
7A9H_TPP,6.614428165937822
6YR2_T1C,5.223238764581436
7MS7_ZQ1,7.764938905092398
8C5D_GTB,1.6237872057254652
7N6F_0I1,4.693337903622966
8AUH_L9I,3.4153874243357105
7JMV_4NC,3.776697171072821
7MFP_Z7P,7.872788788258116
7Z2O_IAJ,3.7103255939902717
7JY3_VUD,5.65454415500436
6XUM_30L,1.5938911641916522
7QHG_T3B,4.153623987025851
7LZQ_YJV,6.253819088911732
8AP0_PRP,3.9724324937945945
7LEV_0JO,1.4509539018957027
7SNE_9XR,7.378223473523807
8FO5_Y4U,4.9990468665059
7VBU_6I4,5.389983249762554
7BLA_WCS,3.8140321192088664
7D9L_GSF,2.3157709251628438
7XJN_NSD,2.8831243922744174
8EAB_VN2,6.598281129059771
8AY3_OE3,3.693230920398725
7Q2B_M6H,4.240203691508895
7P2W_4QR,4.058628090588912
6XAF_GDP,0.8951543537136544
7MYU_ZR7,2.2832843231989575
7TXK_LW8,3.7579439321979717
7BA0_T5H,4.231760592822488
7MZS_GLA,4.045209429726834
7V3N_AKG,2.4385618909035824
6Z2C_Q5E,4.253786471222907
6Z14_Q4Z,3.47570687575237
7NFB_GEN,2.759492572916187
7LB3_XXS,5.010059047313146
7T0D_FPP,3.3953594618599654
7KM8_WPD,2.9800656824757095
7OSO_0V1,2.9851314174916124
7PUV_84Z,1.1105583136070498
7NF0_BYN,6.369757898927627
7KB1_WBJ,2.824426665575735
7CD9_FVR,7.852596482864971
7C0U_FGO,7.180342349506467
7CTM_BDP,1.904112569457845
7XI7_4RI,2.171562826672876
7DKT_GLF,1.2399225272393168
7NML_I7B,6.427698590156272
7MGT_ZD4,1.4193712478493161
7ZL5_IWE,2.883823969671148
7UTW_NAI,0.9426077883419063
7WCF_ACP,1.9786535703466726
7FT9_4MB,4.665153402321119
7N7B_T3F,5.704157431459337
7Q25_8J9,6.191525316830881
7SUC_COM,5.939554666154181
7OZC_G6S,4.126594330393239
7JXX_VP7,2.2807184296949727
7P4C_5OV,1.454799026248732
7F51_BA7,3.598166521381558
7WJB_BGC,3.152710122419393
8BRO_R7E,6.777964871930964
7MOI_HPS,3.4314711716387363
7TSF_H4B,3.0924385275714386
7ULC_56B,5.364047500994841
6W59_SZD,16.325090854414494
8FLV_ZB9,2.576855514877103
6Z5Z_BDF,4.081899251829046
7D0P_1VU,2.456981515800186
7UF2_5SP,3.0522311527257773
7JG0_GAR,1.462449204239802
7C8Q_DSG,4.51112666744142
7UQ3_O2U,2.498938531553022
7NR6_UO8,5.586068720525523
7VKZ_NOJ,3.1668795992357146
7PT3_3KK,10.95592199053529
7TS6_KMI,1.9681327133610347
8EYE_X4I,3.456541457961866
7FHA_ADX,1.936278087272035
7K0V_VQP,1.2359865295433659
6YDY_K73,2.888704782804591
8BPL_CP,2.3484131837956435
